,longitude,latitude,elevation
295,134.82627,-25.678545,222.13
296,134.211271,-25.198549,291.16
297,133.462956,-25.997728,451.8
298,132.646293,-26.028565,572.54
299,133.431285,-25.888558,485.83
300,133.379615,-25.863558,511.85
301,133.329616,-25.935229,480.7
302,133.116288,-25.88856,568.08
303,132.976289,-25.891892,542.52
304,132.83129,-25.881893,539.8
305,132.441293,-25.871896,551.01
306,132.352965,-25.958567,591.2
307,132.157966,-25.896899,573.35
308,132.166295,-25.820239,552.47
309,132.257964,-25.833568,575.76
310,132.391293,-25.835237,555.36
311,132.519622,-25.850236,549.46
312,132.604621,-25.818565,540.57
313,132.71962,-25.818564,550.19
314,132.847959,-25.828563,521.73
315,132.907959,-25.810232,514.24
316,133.097957,-25.81523,518.83
317,133.192956,-25.831059,526.08
318,133.292956,-25.833559,510.07
319,133.404613,-25.720227,483.29
320,133.211285,-25.743559,523.33
321,133.039617,-25.73023,493.08
322,132.966287,-25.738561,504.33
323,132.867958,-25.740232,507.54
324,132.736289,-25.716893,506.08
325,132.63962,-25.711894,515.14
326,132.514621,-25.706895,518.39
327,132.467962,-25.761896,533.18
328,132.326292,-25.713567,528.67
329,132.187964,-25.715238,536.02
330,132.229622,-25.621897,515.19
331,132.337961,-25.620236,508.9
332,132.47296,-25.616895,507.47
333,132.554619,-25.620234,507.43
334,132.649619,-25.613564,499.34
335,132.804617,-25.613562,490.4
336,132.911287,-25.625231,471.4
337,133.007956,-25.63356,477.44
338,133.099615,-25.60356,491.24
339,133.319613,-25.620228,462.98
340,133.456282,-25.615226,457.49
341,133.434611,-25.526886,441.95
342,133.314612,-25.500227,435.75
343,133.091284,-25.526889,464.74
344,132.972955,-25.51856,465.73
345,132.841286,-25.531892,471.37
346,132.736287,-25.520232,478.32
347,132.606288,-25.520234,489.78
348,132.497959,-25.513564,487.98
349,132.37129,-25.516896,485.78
350,132.262961,-25.521897,490.95
351,132.162962,-25.525237,507.62
352,132.167961,-25.420237,488.79
353,132.23129,-25.433567,474.88
354,132.397959,-25.421895,482.64
355,132.494618,-25.420234,462.3
356,132.612957,-25.418563,460.73
357,132.711286,-25.403562,436.03
358,132.847955,-25.421891,424.09
359,132.961284,-25.41689,440.17
360,133.081283,-25.413559,433.98
361,133.284611,-25.435227,418.79
362,133.41128,-25.376886,406.58
363,133.427949,-25.298556,380.58
364,133.32461,-25.303557,397.03
365,133.069612,-25.316889,401.98
366,132.944613,-25.32023,415.82
367,132.837954,-25.320231,421.65
368,132.724615,-25.318562,434.65
369,132.616286,-25.315233,439.0
370,132.497957,-25.311894,455.55
371,132.371288,-25.321895,461.71
372,132.269619,-25.311896,464.4
373,132.15796,-25.345237,482.99
374,132.191289,-25.251896,464.53
375,132.281287,-25.211895,471.33
376,132.404617,-25.226894,471.02
377,132.497956,-25.221893,478.3
378,132.597955,-25.216893,465.77
379,132.734614,-25.200231,455.0
380,132.831283,-25.223561,470.43
381,132.936282,-25.22023,449.17
382,133.051281,-25.223559,424.33
383,133.302949,-25.201886,405.02
384,133.417948,-25.201885,389.23
385,133.414607,-25.111885,437.75
386,133.284608,-25.116886,418.06
387,133.11628,-25.121888,461.74
388,133.02295,-25.120229,479.97
389,132.907951,-25.111889,481.67
390,132.756283,-25.130231,487.21
391,132.689613,-25.101891,487.53
392,132.571284,-25.118562,515.82
393,132.456285,-25.113563,520.63
394,132.334616,-25.120234,494.19
395,132.474614,-25.031893,525.22
396,132.581283,-25.011892,514.81
397,132.742952,-25.016891,490.43
398,132.841281,-25.01523,512.37
399,132.93961,-25.016889,490.57
400,133.074609,-25.026888,484.95
401,133.317947,-25.011886,471.25
402,133.397946,-25.023555,447.81
403,132.464622,-25.760236,532.64
404,132.417962,-25.708566,524.85
405,132.456294,-25.920236,566.81
406,132.407963,-25.866897,558.94
407,132.272965,-25.881068,570.91
408,132.252964,-25.828568,574.37
409,132.332963,-25.753567,539.3
410,132.334621,-25.623566,508.44
411,132.46296,-25.551895,503.51
412,132.54296,-25.685235,515.79
413,133.306282,-25.560228,450.52
414,133.132956,-25.76023,503.9
415,133.131285,-25.68189,491.11
416,133.374608,-25.178556,396.15
417,135.387587,-24.951868,191.33
418,135.402928,-25.011868,191.89
419,135.421259,-25.091868,187.57
420,135.389589,-25.140208,174.89
421,135.36293,-25.168539,170.68
422,135.39459,-25.240209,162.61
423,135.422931,-25.318538,155.02
424,135.442931,-25.383538,149.98
425,135.392932,-25.376869,154.29
426,135.284594,-25.48521,179.58
427,135.249595,-25.545211,176.37
428,135.226266,-25.611871,202.04
429,135.249596,-25.680211,179.15
430,135.266267,-25.753541,164.28
431,135.252938,-25.821871,166.76
432,135.199599,-25.870212,174.07
433,135.13127,-25.910213,179.79
434,135.066271,-25.935213,178.71
435,134.999601,-25.936874,183.47
436,134.919602,-25.945215,186.85
437,134.839603,-25.953545,198.62
438,134.757944,-25.973546,215.03
439,133.449614,-25.800227,491.62
440,133.604613,-25.831226,471.9
441,133.747953,-25.921885,466.67
442,133.893781,-25.898554,418.91
443,134.061279,-25.890222,383.21
444,134.226277,-25.82022,338.05
445,134.372945,-25.770219,311.4
446,134.527944,-25.821878,249.87
447,134.674604,-25.913547,221.7
448,133.252957,-25.895229,509.73
449,133.197118,-25.95523,529.86
450,133.121288,-25.964391,562.8
451,133.049619,-25.976891,554.38
452,132.97129,-25.986892,555.29
453,132.899621,-25.981893,560.16
454,132.816291,-25.968563,551.13
455,132.772961,-25.954894,546.33
456,132.711292,-25.951064,579.74
457,132.649292,-25.928565,552.94
458,132.576293,-25.943565,571.54
459,132.496294,-25.976896,577.88
460,132.432125,-25.990237,600.81
461,132.371295,-26.001897,603.27
462,132.292966,-25.991898,602.88
463,132.197966,-25.981899,613.68
464,132.181287,-25.125236,514.37
465,132.222957,-25.085235,500.14
466,132.227956,-25.018565,528.76
467,132.241285,-24.955235,531.73
468,134.284597,-24.930217,361.49
469,134.286597,-24.933547,358.75
470,134.287767,-24.935217,359.66
471,134.290097,-24.938547,362.41
472,134.292937,-24.941877,363.32
473,134.294097,-24.945217,363.93
474,134.296937,-24.948547,368.5
475,134.299437,-24.951877,372.77
476,134.300937,-24.955217,377.04
477,134.302437,-24.958547,372.47
478,134.309938,-24.970217,371.55
479,134.108441,-25.149649,309.37
480,134.110601,-25.152449,307.85
481,134.112941,-25.155249,307.54
482,134.115601,-25.158049,306.93
483,134.118941,-25.160749,306.93
484,134.121441,-25.163549,307.85
485,134.123771,-25.166349,306.63
486,134.126941,-25.169149,309.37
487,134.129441,-25.171949,310.29
488,134.131601,-25.174749,310.9
489,134.134101,-25.177549,311.81
490,134.135771,-25.180349,313.33
491,134.139271,-25.182949,313.64
492,134.141441,-25.185849,315.77
493,134.143601,-25.188649,313.64
494,134.146271,-25.191449,313.64
495,134.149101,-25.194249,313.64
496,134.151601,-25.197049,313.64
497,134.153601,-25.199849,311.2
498,134.156441,-25.202549,310.29
499,134.158441,-25.205349,309.37
500,134.126602,-25.227849,331.01
501,134.127442,-25.231649,332.84
502,134.128602,-25.235449,333.76
503,134.129942,-25.239149,335.28
504,134.130942,-25.242949,332.54
505,134.130772,-25.246649,330.4
506,134.131942,-25.250449,331.01
507,134.132942,-25.254149,329.79
508,134.134272,-25.257949,326.44
509,134.134772,-25.261649,326.44
510,134.135272,-25.265449,330.4
511,134.136602,-25.269149,331.93
512,134.137442,-25.272949,327.66
513,134.138602,-25.276649,325.83
514,134.139602,-25.280449,325.83
515,134.140942,-25.284149,323.7
516,134.141602,-25.287949,322.17
517,134.142272,-25.291549,321.87
